cc,country,probe,target,ip,host,rdns,rtt,server,server_cc,domestic,school_cov,serve_loc,mlab_rtt
AL,Albania,16235,googleclassroom,142.251.208.110,GOOGLE - Google LLC,lcsofb-ae-in-f14.1e100.net,8.498,tgd01,ME,False,82.4,Sofia BG,32.3
AL,Albania,21663,googleclassroom,142.251.27.100,GOOGLE - Google LLC,cv-in-f100.1e100.net,19.198,tgd01,ME,False,82.4,,32.3
BA,Bosnia and Herzegovina,4475,googleclassroom,172.217.171.174,GOOGLE - Google LLC,hhn05s02-in-f14.1e100.net,,beg01,RS,False,56.3,,25.5
BA,Bosnia and Herzegovina,14628,googleclassroom,142.251.27.100,GOOGLE - Google LLC,cv-in-f100.1e100.net,42.121,beg01,RS,False,56.3,,25.5
BA,Bosnia and Herzegovina,33681,googleclassroom,142.250.203.142,GOOGLE - Google LLC,lcbuda-al-in-f14.1e100.net,36.964,beg01,RS,False,56.3,Budapest HU,25.5
BJ,Benin,13245,googleclassroom,172.217.20.238,GOOGLE - Google LLC,muc12s03-in-f14.1e100.net,105.624,los02,NG,False,0.0,,12.7
BJ,Benin,60812,googleclassroom,172.217.20.46,GOOGLE - Google LLC,par10s09-in-f46.1e100.net,95.559,los02,NG,False,0.0,,12.7
BJ,Benin,64328,googleclassroom,172.217.22.46,GOOGLE - Google LLC,fra15s16-in-f46.1e100.net,101.319,los02,NG,False,0.0,Frankfurt DE,12.7
BW,Botswana,60649,googleclassroom,192.178.54.142,GOOGLE - Google LLC,tzjnba-ah-in-f14.1e100.net,7.78,jnb01,ZA,False,0.0,Johannesburg ZA,22.3
CG,Congo (Brazzaville),64655,googleclassroom,142.250.129.100,GOOGLE - Google LLC,lclhrb-in-f100.1e100.net,179.049,los02,NG,False,0.0,London GB,
CG,Congo (Brazzaville),65677,googleclassroom,192.178.54.14,GOOGLE - Google LLC,tzjnba-ac-in-f14.1e100.net,108.376,los02,NG,False,0.0,Johannesburg ZA,
FJ,Fiji,60575,googleclassroom,142.251.222.238,GOOGLE - Google LLC,pnsyda-ag-in-f14.1e100.net,39.038,akl01,NZ,False,0.0,Sydney AU,89.7
HN,Honduras,23023,googleclassroom,142.250.176.78,GOOGLE - Google LLC,atl26s26-in-f14.1e100.net,39.743,mex01,MX,False,65.8,,80.5
HN,Honduras,61860,googleclassroom,192.178.50.46,GOOGLE - Google LLC,lcmiaa-aa-in-f14.1e100.net,41.454,mex01,MX,False,65.8,Miami US,80.5
KE,Kenya,4078,googleclassroom,172.217.170.206,GOOGLE - Google LLC,mba01s10-in-f14.1e100.net,10.941,nbo01,KE,True,13.6,,19.5
KE,Kenya,22218,googleclassroom,142.250.186.14,GOOGLE - Google LLC,lcmcta-ak-in-f14.1e100.net,127.05,nbo01,KE,True,13.6,,19.5
KE,Kenya,50022,googleclassroom,142.251.38.14,GOOGLE - Google LLC,lcmcta-ac-in-f14.1e100.net,58.054,nbo01,KE,True,13.6,,19.5
KG,Kyrgyzstan,64119,googleclassroom,142.250.154.100,GOOGLE - Google LLC,bt-in-f100.1e100.net,105.841,lhe152605,PK,False,73.7,,235.0
KG,Kyrgyzstan,65240,googleclassroom,142.251.39.142,GOOGLE - Google LLC,tzamsa-af-in-f14.1e100.net,83.712,lhe152605,PK,False,73.7,Amsterdam NL,235.0
KN,Saint Kitts and Nevis,1000988,googleclassroom,173.194.216.100,GOOGLE - Google LLC,vu-in-f100.1e100.net,71.633,bog05,CO,False,0.0,,170.7
KZ,Kazakhstan,4485,googleclassroom,108.177.14.100,GOOGLE - Google LLC,lt-in-f100.1e100.net,69.979,lhe152605,PK,False,68.2,,233.7
KZ,Kazakhstan,6730,googleclassroom,142.251.142.238,GOOGLE - Google LLC,lcarnb-ah-in-f14.1e100.net,85.161,lhe152605,PK,False,68.2,,233.7
KZ,Kazakhstan,6881,googleclassroom,142.250.120.100,GOOGLE - Google LLC,zo-in-f100.1e100.net,68.72,lhe152605,PK,False,68.2,,233.7
LC,Saint Lucia,27546,googleclassroom,142.251.215.14,GOOGLE - Google LLC,tzmiaa-ah-in-f14.1e100.net,63.881,bog05,CO,False,0.8,Miami US,121.9
LK,Sri Lanka,35547,googleclassroom,142.251.10.100,GOOGLE - Google LLC,sd-in-f100.1e100.net,48.404,maa01,IN,False,85.2,,174.9
LK,Sri Lanka,64185,googleclassroom,142.250.143.100,GOOGLE - Google LLC,pt-in-f100.1e100.net,32.471,maa01,IN,False,85.2,,174.9
LS,Lesotho,62155,googleclassroom,142.251.216.142,GOOGLE - Google LLC,lcjnbi-ag-in-f14.1e100.net,9.264,jnb01,ZA,False,0.0,Johannesburg ZA,13.5
