country,months,traces,access_asns,access_hhi,top_access_share,top_access_name,utc_offset,school_hours_pct,weekend_pct,completed_pct,transit_hhi,top_upstream_org,top_upstream_share,single_homed_pct,upstream_is_server_pct,median_as_path,transit_readable,median_path_km,median_rtt_ms,median_countries_crossed,top_site,top_site_share
AL,5,140915,46,1988,41.2,Abissnet sh.a.,1,50.2,13.5,46.3,5670.0,"Cogent Communications, LLC",74.3,68.3,4.9,4.0,True,1278.0,32.3,4.0,tgd01,95.7
BA,6,137635,15,3059,43.2,BH Telecom d.d. Sarajevo,1,55.2,8.2,60.2,2268.0,Hrvatski Telekom d.d.,36.1,55.3,0.0,3.0,True,786.0,25.5,3.0,beg01,62.1
BJ,5,810,2,9902,99.5,SPACETEL BENIN SA,0,48.9,17.0,99.5,9730.0,MTN NIGERIA Communication limited,98.6,100.0,98.6,2.0,False,9588.0,12.7,3.0,los02,98.6
BW,6,21650,9,2212,33.5,Mascom Wireless Ltd,2,57.8,13.9,40.8,4521.0,TENET (The UNINET Project),65.2,29.2,65.2,2.0,False,817.0,22.3,2.0,jnb01,86.7
BZ,6,13993,6,9260,96.2,Belize Telemedia Limited,-6,57.1,15.3,38.1,7927.0,"Columbus Networks USA, Inc.",88.4,50.0,0.0,4.0,True,8182.0,72.8,3.0,mex04,48.7
CG,4,105,2,5200,60.0,MTN CONGO,1,44.8,15.2,0.0,,,,,,,False,,,,los02,100.0
DM,6,1529,3,6587,78.8,SAT TELECOMMUNICATIONS LTD,-4,62.5,12.6,50.0,3410.0,Digicel Jamaica,44.3,33.3,1.2,4.0,True,4751.0,126.4,3.0,bog05,59.1
FJ,7,75146,5,2763,32.2,Digicel Pacific Ltd,12,62.2,19.0,39.2,5093.0,Research and Education Advanced Network New Zealand,68.5,70.0,68.5,2.0,False,5635.0,89.7,3.0,akl01,95.9
GD,5,136,2,6999,81.6,Columbus Communications Grenada Ltd.,-4,22.8,39.7,65.4,10000.0,"Columbus Networks USA, Inc.",100.0,,0.0,4.0,True,4937.0,108.8,3.0,bog02,51.5
HN,6,10419,16,2130,36.5,Telgua,-6,45.0,17.1,22.6,1840.0,"Columbus Networks USA, Inc.",28.2,6.7,0.3,4.0,True,4948.0,80.5,3.0,mex01,42.4
KE,6,63645,17,4017,61.6,Airtel Networks Kenya Limited,2,32.6,26.4,92.9,8455.0,Kenya Education Network,91.9,82.1,91.9,2.0,False,13.0,19.5,1.0,nbo01,98.1
KG,6,502,4,3506,48.6,OJSC Kyrgyztelecom,5,52.2,21.9,82.3,8247.0,"""ElCat"" Ltd.",90.6,100.0,0.0,6.0,True,8525.0,235.0,4.0,lhe152605,100.0
KN,1,4,1,10000,100.0,Columbus Telecommunications (Barbados) Limited,-4,75.0,0.0,25.0,10000.0,"Columbus Networks USA, Inc.",100.0,,0.0,3.0,True,4493.0,170.7,3.0,bog05,100.0
KZ,6,68284,31,1718,32.1,JSC Kazakhtelecom,5,64.7,11.0,68.1,1572.0,JSC Kazakhtelecom,25.8,55.7,0.0,5.0,True,11640.0,233.7,3.0,lhe152605,75.1
LC,5,612,3,9806,99.0,Digicel St.Lucia Ltd,-4,83.7,3.8,1.1,5102.0,Digicel Jamaica,57.1,,0.0,4.0,True,7460.0,121.9,3.0,bog05,58.3
LK,6,318551,5,4090,55.6,Sri Lanka Telecom Internet,5,52.6,13.0,51.7,2370.0,Sri Lanka Telecom Ltd,42.4,53.8,11.8,4.0,True,6174.0,174.9,3.0,maa01,42.2
LS,6,1678,3,6090,75.3,Econet Telecom Lesotho (PTY) LTD,2,53.0,13.0,60.0,4354.0,West Indian Ocean Cable Company,51.8,42.9,7.5,4.0,True,372.0,13.5,2.0,jnb01,88.4
MD,6,32766,13,3826,49.1,Moldtelecom SA,2,58.1,11.0,81.7,2033.0,"Cogent Communications, LLC",39.0,34.6,14.2,3.0,True,1767.0,42.1,3.0,sof02,45.3
ME,6,94555,5,4699,57.1,Crnogorski Telekom a.d.Podgorica,1,59.1,10.5,62.9,2521.0,Hrvatski Telekom d.d.,31.7,100.0,21.5,4.0,True,9.0,6.1,1.0,tgd01,94.9
