iso3,month,schools,tests
MNE,2026-05,338,15637
FJI,2026-06,375,12793
FJI,2026-04,396,12835
LKA,2026-02,1191,17123
LKA,2026-04,1228,23149
BIH,2026-02,672,25968
DMA,2026-06,10,279
MDA,2026-04,78,5806
RWA,2026-06,30,1279
BWA,2026-06,103,4439
LCA,2026-04,10,169
ZMB,2026-04,38,929
ZMB,2026-02,46,1688
MWI,2026-02,89,2507
NAM,2026-02,115,3000
GRD,2026-05,22,324
VCT,2026-05,14,666
VCT,2026-02,8,220
ZAF,2026-02,116,2843
ZAF,2026-04,158,4140
TTO,2026-05,17,777
BEN,2026-07,5,24
LSO,2026-06,7,250
LSO,2026-05,5,189
VCT,2026-07,6,33
MNE,2026-04,340,19289
LKA,2026-06,1368,36839
BIH,2026-07,396,8911
MDA,2026-06,67,3345
MDA,2026-07,59,2899
LCA,2026-03,10,216
HND,2026-07,31,899
BLZ,2026-07,42,1428
KEN,2026-02,30,433
ZMB,2026-06,39,1339
ZMB,2026-03,43,1745
NAM,2026-07,94,3000
NAM,2026-05,54,600
LSO,2026-03,3,317
ZAF,2026-06,159,4080
ZAF,2026-07,149,2623
KNA,2026-06,2,78
KNA,2026-05,2,65
KGZ,2026-06,1,30
KGZ,2026-05,1,43
MNE,2026-06,322,10596
MNE,2026-03,336,21754
MNE,2026-07,169,2922
FJI,2026-05,380,9343
BIH,2026-03,657,26508
MNG,2026-04,671,41795
MNG,2026-07,439,6256
MNG,2026-06,645,27722
KAZ,2026-02,643,18032
KAZ,2026-03,595,15148
KAZ,2026-07,292,4254
DMA,2026-02,7,185
DMA,2026-03,6,473
MDA,2026-02,79,6912
MDA,2026-03,79,7335
BWA,2026-04,107,3834
BWA,2026-05,100,3681
LCA,2026-06,9,170
HND,2026-06,33,924
BLZ,2026-04,61,2519
ALB,2026-06,816,30018
ALB,2026-04,331,24167
MWI,2026-06,105,3932
BEN,2026-05,10,101
BEN,2026-06,6,76
VCT,2026-06,13,478
ZAF,2026-05,167,4797
GRD,2026-02,21,348
LSO,2026-07,5,197
KNA,2026-02,2,45
COG,2026-06,1,3
LSO,2026-02,3,235
UZB,2026-03,9053,605144
UZB,2026-06,7392,256073
UZB,2026-07,5781,128701
FJI,2026-02,438,15048
MNG,2026-05,662,45482
KAZ,2026-05,556,13484
KAZ,2026-06,433,8547
DMA,2026-04,9,451
DMA,2026-05,10,416
BWA,2026-03,135,5744
LCA,2026-02,8,217
LCA,2026-07,8,137
HND,2026-03,40,1298
HND,2026-05,33,955
BLZ,2026-03,58,2784
BLZ,2026-05,56,2503
KEN,2026-07,98,4008
KEN,2026-05,30,996
MWI,2026-05,105,4037
MWI,2026-03,92,2465
MWI,2026-07,102,3875
NAM,2026-04,104,3156
COG,2026-03,3,11
GRD,2026-06,19,309
GRD,2026-04,22,378
VCT,2026-03,19,774
TTO,2026-07,13,618
COG,2026-07,1,3
KGZ,2026-04,2,56
UZB,2026-05,8526,519346
KNA,2026-04,2,124
FJI,2026-07,360,12819
BIH,2026-04,641,23954
RWA,2026-02,35,535
RWA,2026-03,35,758
RWA,2026-07,31,935
LCA,2026-05,10,184
HND,2026-04,38,1153
BLZ,2026-06,55,2264
KEN,2026-06,76,1687
ALB,2026-05,856,39099
MWI,2026-04,97,2511
BEN,2026-03,6,78
GRD,2026-07,14,228
GRD,2026-03,23,407
VCT,2026-04,18,706
LSO,2026-04,3,234
TTO,2026-03,23,1225
DMA,2026-07,6,138
TTO,2026-06,12,517
COG,2026-04,1,10
KGZ,2026-02,1,44
UZB,2026-02,9358,739616
UZB,2026-04,8827,689146
MNE,2026-02,346,20348
FJI,2026-03,416,15569
LKA,2026-03,1277,27544
LKA,2026-07,3191,72578
LKA,2026-05,1283,29170
BIH,2026-05,625,21973
BIH,2026-06,631,18396
MNG,2026-03,686,45730
MNG,2026-02,679,34872
KGZ,2026-03,1,58
KAZ,2026-04,590,19562
MDA,2026-05,76,5997
RWA,2026-04,32,557
RWA,2026-05,34,1211
BWA,2026-02,141,5490
BWA,2026-07,93,2669
HND,2026-02,42,1160
BLZ,2026-02,61,2747
KEN,2026-03,32,493
KEN,2026-04,22,328
ZMB,2026-05,40,1321
ZMB,2026-07,38,1133
ALB,2026-03,99,4102
ALB,2026-07,663,15221
NAM,2026-06,98,2621
NAM,2026-03,112,3288
BEN,2026-02,5,82
BEN,2026-04,4,34
ZAF,2026-03,139,5042
TTO,2026-02,21,965
TTO,2026-04,18,936
KNA,2026-03,3,61
COG,2026-02,1,25
KNA,2026-07,1,13
