cc,country,asn,name,traces,arelion_pct,equinix_pct,eqixp_pct
AL,Albania,14593,Space Exploration Technologies Cor,94,100.0,0.0,0.0
AL,Albania,21183,ABCOM Shpk,7890,7.7,0.0,0.0
AL,Albania,29238,Nisatel LTD,7283,1.9,0.0,0.0
AL,Albania,35047,Abissnet sh.a.,58012,8.2,0.0,0.0
AL,Albania,35444,ADA Holding - ADA AIR sh.p.k.,2485,5.2,0.0,0.0
AL,Albania,39611,VIVO Communications Sh p k,73,0.0,0.0,0.0
AL,Albania,42313,Albtelecom Sh.a.,17022,14.3,0.0,0.0
AL,Albania,47394,Albanian Satellite Communications ,1575,3.0,0.0,0.0
AL,Albania,50616,Telekom Albania SH.A,7014,95.2,0.0,0.0
AL,Albania,50973,Vodafone Albania Sh.A.,5421,2.3,0.0,0.0
AL,Albania,57070,ITCOM Shpk,1367,0.1,0.0,0.0
AL,Albania,57388,I.B.C shpk,4424,1.9,0.0,0.0
AL,Albania,60352,S E L C O M SHPK,203,3.0,0.0,0.0
AL,Albania,60471,Mobitel Communication Sh.p.k,1005,0.5,0.0,0.0
AL,Albania,198279,Albanian Telecommunications Union ,5944,7.0,0.0,0.0
AL,Albania,198890,Netway Broadband LTD,636,4.7,0.0,0.0
AL,Albania,199276,Tele.Co.Albania SHPK,1400,2.8,0.0,0.0
AL,Albania,201249,IPRO Sh.p.k.,1772,2.3,0.0,0.0
AL,Albania,201967,AXA technology services,96,0.0,0.0,0.0
AL,Albania,202433,Acenet sh.p.k.,113,0.0,0.0,0.0
AL,Albania,204816,John Hadrill,70,0.0,0.0,0.0
AL,Albania,205110,NEXT-TV SHPK,2679,2.1,0.0,0.0
AL,Albania,205244,Artur Imeraj trading as FIRST.COM,472,68.0,0.0,0.0
AL,Albania,205278,Meshnet ltd.,126,0.0,0.0,0.0
AL,Albania,207502,AS207502,917,0.9,0.0,0.0
AL,Albania,207876,AS207876,1243,67.5,0.0,0.0
AL,Albania,209240,AS209240,68,0.0,0.0,0.0
AL,Albania,209277,AS209277,2444,2.0,0.0,0.0
AL,Albania,209302,AS209302,724,0.6,0.0,0.0
AL,Albania,209442,AS209442,1632,100.0,0.0,0.0
AL,Albania,209839,AS209839,1644,14.1,0.0,0.0
AL,Albania,210003,AS210003,1744,2.2,0.0,0.0
AL,Albania,210125,AS210125,172,3.5,0.0,0.0
AL,Albania,211147,AS211147,117,100.0,0.0,0.0
AL,Albania,211210,AS211210,99,4.0,0.0,0.0
AL,Albania,211356,AS211356,231,0.0,0.0,0.0
AL,Albania,211385,AS211385,478,3.1,0.0,0.0
AL,Albania,211458,AS211458,443,0.0,0.0,0.0
AL,Albania,212637,AS212637,599,0.0,0.0,0.0
AL,Albania,215773,AS215773,139,59.7,0.0,0.0
AL,Albania,215910,AS215910,269,2.6,0.0,0.0
AL,Albania,216046,AS216046,239,0.0,0.0,0.0
AL,Albania,216312,AS216312,497,2.0,0.0,0.0
BA,Bosnia and Herzegovina,9146,BH Telecom d.d. Sarajevo,59420,14.6,0.0,0.0
BA,Bosnia and Herzegovina,16178,"Logosoft , information engineering",65,0.0,0.0,0.0
BA,Bosnia and Herzegovina,20875,HT d.o.o. Mostar,13147,0.0,0.0,0.0
BA,Bosnia and Herzegovina,21107,Blicnet d.o.o.,2125,0.0,0.0,0.0
BA,Bosnia and Herzegovina,25144,"""Telekomunikacije Republike Srpske",42092,0.0,0.0,0.0
BA,Bosnia and Herzegovina,35107,AS35107,178,6.7,0.0,0.0
BA,Bosnia and Herzegovina,35567,DASTO semtel d.o.o.,58,0.0,0.0,0.0
BA,Bosnia and Herzegovina,39826,Terc Trade Company d.o.o.,55,0.0,0.0,0.0
BA,Bosnia and Herzegovina,42560,Telemach d.o.o. Sarajevo,17693,0.0,0.0,0.0
BA,Bosnia and Herzegovina,57869,MISS.NET d.o.o.,299,0.0,0.0,0.0
BA,Bosnia and Herzegovina,57888,Telesat d.o.o.,1092,97.8,0.0,0.0
BA,Bosnia and Herzegovina,59847,WIRAC.NET d.o.o.,400,0.0,0.0,0.0
BA,Bosnia and Herzegovina,202632,TXTV d.o.o. Tuzla,377,3.4,0.0,0.0
BA,Bosnia and Herzegovina,212572,AS212572,294,0.0,0.0,0.0
BA,Bosnia and Herzegovina,216200,AS216200,340,0.0,0.0,0.0
BJ,Benin,37424,SPACETEL BENIN SA,806,0.0,0.0,0.0
BW,Botswana,14593,Space Exploration Technologies Cor,4346,0.0,0.0,0.0
BW,Botswana,14988,Botswana Telecommunications Corpor,3269,0.0,0.0,0.0
BW,Botswana,36963,Orange Botswana (PTY) Ltd,3764,0.0,0.0,0.0
BW,Botswana,37014,Mascom Wireless Ltd,7249,0.0,0.0,0.0
BW,Botswana,37395,Abari Communications,107,0.0,0.0,0.0
BW,Botswana,37678,BOTSWANA FIBRE NETWORKS (Proprieta,2706,0.0,0.0,0.0
BW,Botswana,328459,AS328459,198,0.0,0.0,0.0
BZ,Belize,10269,Belize Telemedia Limited,13460,15.0,0.0,5.9
BZ,Belize,263824,Central TV and Internet Limited,71,19.7,0.0,0.0
BZ,Belize,264663,CENTAUR CABLE,368,0.0,0.0,0.0
BZ,Belize,264779,Alliance IP (Belize) Ltd,58,0.0,0.0,0.0
DM,Dominica,11139,Cable & Wireless Dominica,295,1.0,0.0,0.0
DM,Dominica,40945,SAT TELECOMMUNICATIONS LTD,1205,0.0,0.0,0.0
FJ,Fiji,4638,Telecom Fiji Limited,22309,0.0,0.0,99.8
FJ,Fiji,14593,Space Exploration Technologies Cor,8512,0.0,0.0,0.0
FJ,Fiji,38442,Vodafone Fiji Limited,20154,0.0,0.0,100.0
FJ,Fiji,45355,Digicel Pacific Ltd,24165,0.0,0.0,100.0
HN,Honduras,14754,Telgua,3806,10.0,0.0,5.5
HN,Honduras,27884,CABLECOLOR S.A.,136,0.0,0.0,0.0
HN,Honduras,27923,"TEVISAT, S.A.",619,36.5,0.0,0.0
HN,Honduras,52262,Telefónica Celular S.A,1191,0.0,7.6,0.0
HN,Honduras,262146,Datos,148,0.0,0.0,0.0
HN,Honduras,262234,ASOCIACION DE SERVICIO DE INTERNET,75,0.0,0.0,0.0
HN,Honduras,263725,MULTICABLE DE HONDURAS,2216,42.6,0.0,0.0
HN,Honduras,264847,ENRED S.DE.R.L,1098,64.5,0.0,0.0
HN,Honduras,269780,AS269780,159,0.0,0.0,0.0
HN,Honduras,269919,AS269919,141,0.0,0.0,0.0
HN,Honduras,271781,AS271781,788,0.0,0.0,0.0
KE,Kenya,9129,MTN SA,56,0.0,0.0,0.0
KE,Kenya,12455,Kenyan Post & Telecommunications C,1573,0.0,0.0,0.0
KE,Kenya,14593,Space Exploration Technologies Cor,6750,0.0,0.0,0.0
KE,Kenya,15399,Wananchi Group (Kenya) Limited,5018,0.0,0.0,0.0
KE,Kenya,30844,Liquid Telecommunications Ltd,1444,0.0,0.0,0.0
KE,Kenya,33771,Safaricom Limited,1973,0.0,0.0,0.0
KE,Kenya,36866,Jamii Telecommunications Limited,176,0.0,0.0,0.0
KE,Kenya,36926,Airtel Networks Kenya Limited,39190,0.0,0.0,0.0
KE,Kenya,37061,Safaricom Limited,2632,0.0,0.0,0.0
KE,Kenya,327972,Mawingu Networks Ltd,1197,0.0,0.0,0.0
KE,Kenya,328331,POA INTERNET KENYA LIMITED,1612,0.0,0.0,0.0
KE,Kenya,329101,AS329101,148,0.0,0.0,0.0
KE,Kenya,329452,AS329452,778,0.0,0.0,0.0
KE,Kenya,329535,AS329535,310,0.0,0.0,0.0
KE,Kenya,329656,AS329656,670,0.0,0.0,0.0
KE,Kenya,329741,AS329741,79,0.0,0.0,0.0
KG,Kyrgyzstan,12997,OJSC Kyrgyztelecom,244,0.0,0.0,0.0
KG,Kyrgyzstan,41329,SkyMobile LTD,112,0.0,0.0,0.0
KG,Kyrgyzstan,50223,Alfa Telecom CJSC,126,0.0,0.0,0.0
KZ,Kazakhstan,8393,"""ASTEL"" JSC",130,0.0,0.0,0.0
KZ,Kazakhstan,9198,JSC Kazakhtelecom,21913,0.2,0.0,1.7
KZ,Kazakhstan,14593,Space Exploration Technologies Cor,10717,0.4,0.0,0.2
KZ,Kazakhstan,21299,Kar-Tel LLC,751,0.0,0.0,0.0
KZ,Kazakhstan,29355,Kcell JSC,5922,0.3,0.0,0.0
KZ,Kazakhstan,29555,Mobile Telecom-Service LLP,744,0.0,0.0,0.0
KZ,Kazakhstan,35104,JSC Kaztranscom,265,0.0,0.0,0.0
KZ,Kazakhstan,35566,Kar-Tel LLC,63,0.0,0.0,0.0
KZ,Kazakhstan,41798,JSC Transtelecom,9191,2.1,0.0,41.8
KZ,Kazakhstan,43873,AB GROUP LLC,76,0.0,0.0,43.4
KZ,Kazakhstan,48503,Tele2 Sverige AB,2847,8.4,0.0,0.0
KZ,Kazakhstan,50482,JSC Kazakhtelecom,690,1.0,0.0,0.0
KZ,Kazakhstan,51997,LLP Asket,423,0.0,0.0,53.9
KZ,Kazakhstan,57013,Eurasia Star Ltd.,84,0.0,0.0,0.0
KZ,Kazakhstan,60757,Optinet LTD,942,0.0,0.0,0.0
KZ,Kazakhstan,197556,TNS-Plus LLP,1072,0.0,0.0,0.0
KZ,Kazakhstan,200218,AS200218,68,0.0,0.0,0.0
KZ,Kazakhstan,200590,NLS Kazakhstan LLC,4101,0.0,0.0,0.2
KZ,Kazakhstan,206026,Kar-Tel LLC,7582,1.0,0.0,1.6
KZ,Kazakhstan,208077,AS208077,177,2.8,0.0,0.0
KZ,Kazakhstan,208448,AS208448,76,0.0,0.0,0.0
KZ,Kazakhstan,208946,AS208946,86,0.0,0.0,0.0
KZ,Kazakhstan,212999,AS212999,269,0.0,0.0,0.7
LC,Saint Lucia,33582,Digicel St.Lucia Ltd,606,0.0,0.0,0.0
LK,Sri Lanka,9329,Sri Lanka Telecom Internet,177021,10.3,0.0,0.0
LK,Sri Lanka,17470,Etisalat Lanka (Pvt) Ltd.,7050,0.0,0.0,0.6
LK,Sri Lanka,18001,Dialog Telekom Ltd,94437,0.0,0.0,17.4
LK,Sri Lanka,45356,"IS Group, No:108, W A D Ramanayake",34075,0.3,0.0,19.3
LK,Sri Lanka,132447,Hutchison Telecommunications Lanka,5968,0.0,0.0,0.0
LS,Lesotho,14593,Space Exploration Technologies Cor,82,0.0,0.0,0.0
LS,Lesotho,33567,Econet Telecom Lesotho (PTY) LTD,1264,0.0,0.0,0.0
LS,Lesotho,37057,Vodacom Lesotho (Pty) Ltd,332,0.0,0.0,0.0
MD,Republic of Moldova,8926,Moldtelecom SA,16086,47.4,0.0,0.0
MD,Republic of Moldova,15836,Arax-Impex s.r.l.,648,52.3,0.0,0.0
MD,Republic of Moldova,25454,ORANGE MOLDOVA S.A.,1299,67.2,0.0,0.0
MD,Republic of Moldova,31204,Sun Communications S.R.L.,343,49.6,0.0,0.0
MD,Republic of Moldova,31252,StarNet Solutii SRL,12199,43.1,0.0,0.0
MD,Republic of Moldova,35346,SC ITNS.NET SRL,76,48.7,0.0,0.0
MD,Republic of Moldova,43925,MOLDCELL S.A.,61,63.9,0.0,0.0
MD,Republic of Moldova,48480,S.C. AltNet C.C. S.R.L.,305,50.5,0.0,0.0
MD,Republic of Moldova,48506,Metical SRL,159,56.6,0.0,0.0
MD,Republic of Moldova,51056,Inet Tehno SRL,518,49.2,0.0,0.0
MD,Republic of Moldova,62013,Societatea Comerciala Click-COM SR,679,0.0,0.0,7.8
MD,Republic of Moldova,200640,SC Raznet SRL,367,51.8,0.0,0.0
ME,Montenegro,8585,Crnogorski Telekom a.d.Podgorica,53978,0.0,0.0,0.0
ME,Montenegro,15397,Telenor d.o.o. Podgorica,1835,0.0,0.0,0.0
ME,Montenegro,42560,Telemach d.o.o. Sarajevo,2959,0.0,0.0,0.0
ME,Montenegro,43940,"Drustvo za telekomunikacije ""MTEL""",35710,0.0,0.0,0.0
ME,Montenegro,198961,Orion Telekom Tim d.o.o.Beograd,73,0.0,0.0,0.0
MN,Mongolia,9484,"Mobinet ISP, MobiCom Corporation",8510,0.0,0.0,0.0
MN,Mongolia,9934,Mongolia Telecom,8399,0.0,0.0,0.0
MN,Mongolia,10076,ERDEMNET Mongolian National Resear,4644,7.9,0.4,0.0
MN,Mongolia,10219,SKYMEDIA CORPORATION LLC,3613,0.0,0.0,0.0
MN,Mongolia,14593,Space Exploration Technologies Cor,7831,0.0,0.0,0.0
MN,Mongolia,17882,The first E-commerce and TriplePla,60879,0.3,0.0,0.0
MN,Mongolia,24559,G-Mobile Corporation,2586,0.0,0.0,0.0
MN,Mongolia,38805,"STXCitinet, Leading Internet & VOI",1448,0.0,0.0,0.0
MN,Mongolia,38818,YOKOZUNANET LLC,110,0.0,0.0,0.0
MN,Mongolia,55805,"MobiCom Corporation, Mongolia",9295,0.0,0.0,0.1
MN,Mongolia,56293,Kewiko LLC,1097,0.0,0.0,0.0
MN,Mongolia,131240,Ultranet Zone LLC,81,0.0,0.0,0.0
MN,Mongolia,134356,AS134356,632,0.0,0.0,0.0
MN,Mongolia,141681,AS141681,273,0.0,0.0,0.0
MW,Malawi,14593,Space Exploration Technologies Cor,20092,0.0,0.0,0.0
MW,Malawi,37187,Skyband Corporation Ltd,718,0.0,0.0,0.0
MW,Malawi,37294,TELEKOM NETWORKS MALAWI LTD,3477,0.0,0.0,0.0
MW,Malawi,37440,Airtel Malawi Ltd,3918,0.0,0.0,0.0
NA,Namibia,33763,Internet Technologies Namibia,1481,0.0,0.0,0.0
NA,Namibia,36996,Telecom Namibia,37900,0.0,0.0,0.0
NA,Namibia,37009,"MTC - Mobile Telecommunications, L",1282,0.0,0.0,0.0
RW,Rwanda,14593,Space Exploration Technologies Cor,133,0.0,0.0,0.0
RW,Rwanda,36890,MTN Rwandacell,1256,0.0,0.0,0.0
RW,Rwanda,37124,TIGO RWANDA S.A,534,0.0,0.0,0.0
RW,Rwanda,37228,KT RWANDA NETWORK Ltd,1501,0.0,0.0,0.0
RW,Rwanda,327707,Airtel Rwanda Ltd.,1833,0.0,0.0,0.0
TT,Trinidad and Tobago,5639,Telecommunication Services of Trin,1952,4.0,0.0,0.0
TT,Trinidad and Tobago,27665,Columbus Communications Trinidad L,2245,9.6,0.0,0.0
TT,Trinidad and Tobago,27800,Digicel Trinidad and Tobago Ltd.,403,0.0,0.0,0.0
TT,Trinidad and Tobago,27924,Massy Communications Ltd,572,0.0,0.0,0.0
UZ,Uzbekistan,8193,Uzbektelekom Joint Stock Company,70493,0.0,0.0,0.0
UZ,Uzbekistan,41202,UNITEL LLC,2428,0.0,0.0,0.0
UZ,Uzbekistan,43060,IPLUS LLC,82,0.0,0.0,0.0
UZ,Uzbekistan,49273,Foreign Enterprise COSCOM Liabilit,4234,0.0,0.0,0.4
UZ,Uzbekistan,57016,Inform-Service TV Ltd.,52,0.0,0.0,0.0
UZ,Uzbekistan,64466,UNIVERSAL MOBILE SYSTEMS LCC,3378,0.0,0.0,0.0
UZ,Uzbekistan,201767,"""Uzbektelecom"" Joint-Stock Company",5464,0.0,0.0,0.5
VC,Saint Vincent and the Grenadines,46408,Columbus Communication St. Vincent,1048,0.6,0.0,0.0
VC,Saint Vincent and the Grenadines,398901,AS398901,1387,0.2,0.0,0.0
ZA,South Africa,2018,TENET (The UNINET Project),205,0.0,0.0,0.0
ZA,South Africa,5713,Telkom SA Ltd.,1369,0.0,0.0,0.0
ZA,South Africa,12091,MTN SA,12078,0.0,0.0,0.0
ZA,South Africa,16637,MTN SA,171,0.0,0.0,0.0
ZA,South Africa,20011,Internet Solutions,161,0.0,0.0,0.0
ZA,South Africa,29975,Vodacom,19109,0.0,0.0,0.0
ZA,South Africa,36994,Vodacom,9440,0.0,0.0,0.0
ZA,South Africa,37049,South African Digital Villages (Pt,1860,0.0,0.0,0.0
ZA,South Africa,37105,Neology (Pty) Ltd,1625,0.0,0.0,0.0
ZA,South Africa,37130,SITA Pty LTD,1704,0.0,0.0,0.0
ZA,South Africa,37168,Cell C (Pty) Ltd,1120,0.0,0.0,0.0
ZA,South Africa,37356,OTEL TELECOMS,949,0.0,0.0,0.0
ZA,South Africa,37457,Telkom SA Ltd.,23475,0.0,0.0,0.0
ZA,South Africa,37611,Afrihost (Pty) Ltd,2959,0.0,0.0,0.0
ZA,South Africa,37662,West Indian Ocean Cable Company,52,0.0,0.0,0.0
ZA,South Africa,206283,STAR SATELLITE COMMUNICATIONS COMP,146,100.0,0.0,0.0
ZA,South Africa,327693,Echotel Pty Ltd,178,0.0,0.0,0.0
ZA,South Africa,327782,Metrofibre Networx,1296,0.0,0.0,0.0
ZA,South Africa,328471,AS328471,4933,0.0,0.0,0.0
ZA,South Africa,329032,AS329032,115,0.0,0.0,0.0
ZA,South Africa,329045,AS329045,259,0.0,0.0,0.0
ZA,South Africa,329089,AS329089,357,0.0,0.0,0.0
ZA,South Africa,329124,AS329124,585,0.0,0.0,0.0
ZA,South Africa,329126,AS329126,368,0.0,0.0,0.0
