country,traces,school,school_pct,schools,window,tvd,school_weekday_pct,other_weekday_pct,shared_ip_pct,metric,kind,cells,networks,servers,cell_traces,n_school,n_other,crude,stratified,lo,hi
AL,140922,94315,66.9,854,2026-02-01..2026-07-31,0.469,92.2,75.0,43.4,ndt_rtt,diff,128,23,3,115001,81821,33180,-7.085500000000003,-2.905967494298038,-4.135559887037754,-1.8346895327367436
AL,140922,94315,66.9,854,2026-02-01..2026-07-31,0.469,92.2,75.0,43.4,ndt_throughput,logratio,128,23,3,115001,81821,33180,0.5347926631539595,0.3740996405249562,0.29817192648175117,0.45249878541608995
AL,140922,94315,66.9,854,2026-02-01..2026-07-31,0.469,92.2,75.0,43.4,is_reaching_dst_asn,pp,128,23,3,115001,81821,33180,23.86439037791659,-2.818589038683517,-4.348746395412717,-1.376701287483465
BA,137642,114948,83.5,721,2026-02-01..2026-07-31,0.462,94.9,75.8,20.8,ndt_rtt,diff,89,6,2,128472,110422,18050,-3.2280000000000015,-5.576366656390718,-7.072157479997192,-4.137421771257588
BA,137642,114948,83.5,721,2026-02-01..2026-07-31,0.462,94.9,75.8,20.8,ndt_throughput,logratio,89,6,2,128472,110422,18050,0.9460114754273534,1.0413086228604636,0.842664955855411,1.2222118035018519
BA,137642,114948,83.5,721,2026-02-01..2026-07-31,0.462,94.9,75.8,20.8,is_reaching_dst_asn,pp,89,6,2,128472,110422,18050,16.406682377066556,14.98115929106922,7.78976370965634,21.751438173878817
BJ,811,269,33.2,12,2026-02-01..2026-07-31,0.328,97.8,76.4,18.3,ndt_rtt,diff,4,1,1,544,233,311,1.5,3.7994827142161163,0.6980493768303491,9.811599090487091
BJ,811,269,33.2,12,2026-02-01..2026-07-31,0.328,97.8,76.4,18.3,ndt_throughput,logratio,4,1,1,544,233,311,0.10920205026918973,0.17751567440405777,-0.14808228913136182,0.6515412590010909
BJ,811,269,33.2,12,2026-02-01..2026-07-31,0.328,97.8,76.4,18.3,is_reaching_dst_asn,pp,4,1,1,544,233,311,0.0,0.0,0.0,0.0
BW,21653,16321,75.4,131,2026-02-01..2026-07-31,0.41,89.7,74.1,46.3,ndt_rtt,diff,41,5,1,15803,12188,3615,-3.5764999999999993,0.46347248322630846,-3.1031283536675955,4.482736480828333
BW,21653,16321,75.4,131,2026-02-01..2026-07-31,0.41,89.7,74.1,46.3,ndt_throughput,logratio,41,5,1,15803,12188,3615,1.296768824697323,1.261625176334579,0.9492568010552064,1.5793189788752615
BW,21653,16321,75.4,131,2026-02-01..2026-07-31,0.41,89.7,74.1,46.3,is_reaching_dst_asn,pp,41,5,1,15803,12188,3615,1.762709256230538,6.347932842233712,2.168406669361123,10.94737807004828
BZ,13995,11595,82.9,61,2026-02-01..2026-07-31,0.353,86.0,78.3,10.0,ndt_rtt,diff,16,1,2,10845,9186,1659,0.6189999999999998,-1.1036584782260743,-2.6172625114391397,0.3834315825919614
BZ,13995,11595,82.9,61,2026-02-01..2026-07-31,0.353,86.0,78.3,10.0,ndt_throughput,logratio,16,1,2,10845,9186,1659,0.817192406059857,1.0942628219036887,0.8929077535121309,1.3571467814180005
BZ,13995,11595,82.9,61,2026-02-01..2026-07-31,0.353,86.0,78.3,10.0,is_reaching_dst_asn,pp,16,1,2,10845,9186,1659,-25.184818158302853,-24.372600532492164,-32.82921786313828,-16.536595519326475
FJ,75159,67692,90.1,376,2025-11-01..2026-07-31,0.172,93.9,85.7,82.9,ndt_rtt,diff,39,4,2,70185,63439,6746,1.5859999999999985,1.3771306577423164,0.6399015614204902,2.3618636081678064
FJ,75159,67692,90.1,376,2025-11-01..2026-07-31,0.172,93.9,85.7,82.9,ndt_throughput,logratio,39,4,2,70185,63439,6746,0.3946284265589591,0.5613473299332569,0.33916228800404435,0.7686613772556197
FJ,75159,67692,90.1,376,2025-11-01..2026-07-31,0.172,93.9,85.7,82.9,is_reaching_dst_asn,pp,39,4,2,70185,63439,6746,-4.355538143523457,-0.37471774940689584,-1.2228484767697403,0.31850581275345996
HN,10420,3967,38.1,45,2026-02-01..2026-07-31,0.404,94.5,74.7,12.1,ndt_rtt,diff,19,3,2,3742,1370,2372,0.9909999999999997,-1.3198555849689395,-4.337435021864939,1.142688662201601
HN,10420,3967,38.1,45,2026-02-01..2026-07-31,0.404,94.5,74.7,12.1,ndt_throughput,logratio,19,3,2,3742,1370,2372,-0.6814651541563389,-0.7430971669861669,-0.9182109407509994,-0.569650705147417
HN,10420,3967,38.1,45,2026-02-01..2026-07-31,0.404,94.5,74.7,12.1,is_reaching_dst_asn,pp,19,3,2,3742,1370,2372,1.438251621718098,1.9643090125560083,-2.4242394491919472,7.1098689905306545
KE,63645,1897,3.0,50,2026-02-01..2026-07-31,0.381,86.9,73.2,21.9,ndt_rtt,diff,16,6,1,21954,1131,20823,2.978999999999999,8.286791615921182,4.5271317249189975,12.280014466553016
