iso3,country,first_seen,months_present,months_observed,schools_latest,schools_total_latest,share_latest_pct,share_peak_pct,peak_month,latest_month
MWI,Malawi,2025-06,15,15,59,93,63.4,63.4,2026-08,2026-08
MEX,MEX,2026-07,2,2,4,11,36.4,70.0,2026-07,2026-08
KAZ,Kazakhstan,2024-02,30,43,71,380,18.7,20.3,2026-05,2026-08
BWA,Botswana,2024-10,23,43,16,92,17.4,18.3,2025-12,2026-08
FJI,Fiji,2024-07,26,29,52,340,15.3,15.3,2026-08,2026-08
KEN,Kenya,2024-07,26,26,8,72,11.1,21.1,2025-11,2026-08
DMA,Dominica,2026-06,1,2,1,10,10.0,10.0,2026-06,2026-06
RWA,Rwanda,2023-10,13,39,2,30,6.7,11.8,2026-05,2026-08
HND,Honduras,2025-10,10,14,2,31,6.5,7.5,2026-03,2026-08
MNG,Mongolia,2023-09,33,44,24,570,4.2,6.9,2025-11,2026-08
LKA,Sri Lanka,2026-07,2,25,9,3123,0.3,0.3,2026-08,2026-08
ALB,Albania,2026-04,4,6,0,491,0.0,0.4,2026-05,2026-08
BLZ,Belize,2025-06,2,15,0,45,0.0,1.5,2025-08,2026-08
TCA,TCA,2025-10,9,13,0,11,0.0,7.7,2025-12,2026-08
UZB,Uzbekistan,2025-11,5,44,0,6847,0.0,0.0,2023-01,2026-08
ZMB,Zambia,2025-12,4,10,0,34,0.0,5.3,2026-07,2026-08
