iso3,kind,tests,mbps_best,mbps_worst,mbps_swing_pct,rtt_best,rtt_worst,median_loss_pct
BWA,starlink,4310,179.3,84.7,53,21.4,23.0,0.32
BWA,terrestrial,22239,40.3,26.7,34,17.8,19.4,0.3
FJI,starlink,8511,72.5,29.4,59,70.2,75.0,2.42
FJI,terrestrial,80985,16.0,9.5,41,89.9,93.2,0.01
KAZ,starlink,14491,30.4,26.6,13,255.2,260.9,3.16
KAZ,terrestrial,79818,19.3,15.1,22,222.6,231.1,0.08
KEN,terrestrial,8317,9.9,7.3,26,14.4,17.9,2.12
MNG,starlink,8529,92.9,70.8,24,107.8,109.7,1.99
MNG,terrestrial,208168,84.4,72.5,14,5.5,15.8,1.56
MWI,starlink,10666,39.5,16.2,59,44.7,56.9,1.53
MWI,terrestrial,9505,6.3,4.2,34,87.7,97.2,0.6
