iso3_code,month,tests_total,schools_total,tests_starlink,schools_starlink,isps_total,school_share_pct,test_share_pct
AIA,2023-01,8,2,0,0,1,0.0,0.0
AIA,2023-02,26,5,0,0,1,0.0,0.0
AIA,2023-03,17,1,0,0,1,0.0,0.0
AIA,2023-04,12,1,0,0,1,0.0,0.0
AIA,2023-05,1,1,0,0,1,0.0,0.0
AIA,2023-06,16,4,0,0,1,0.0,0.0
AIA,2023-07,149,3,0,0,1,0.0,0.0
AIA,2023-08,32,2,0,0,1,0.0,0.0
AIA,2023-09,66,3,0,0,1,0.0,0.0
AIA,2023-10,12,3,0,0,1,0.0,0.0
AIA,2023-11,31,3,0,0,1,0.0,0.0
AIA,2023-12,8,3,0,0,1,0.0,0.0
AIA,2024-01,15,3,0,0,1,0.0,0.0
AIA,2024-02,6,3,0,0,1,0.0,0.0
AIA,2024-03,4,2,0,0,1,0.0,0.0
AIA,2024-04,5,3,0,0,1,0.0,0.0
AIA,2024-05,23,6,0,0,1,0.0,0.0
AIA,2024-06,8,3,0,0,1,0.0,0.0
AIA,2024-07,2,2,0,0,1,0.0,0.0
AIA,2024-08,5,2,0,0,1,0.0,0.0
AIA,2024-09,7,3,0,0,1,0.0,0.0
AIA,2024-10,3,3,0,0,1,0.0,0.0
AIA,2024-11,10,3,0,0,1,0.0,0.0
AIA,2024-12,2,2,0,0,1,0.0,0.0
AIA,2025-01,5,2,0,0,1,0.0,0.0
AIA,2025-02,8,3,0,0,1,0.0,0.0
AIA,2025-03,3,2,0,0,1,0.0,0.0
AIA,2025-04,5,3,0,0,1,0.0,0.0
AIA,2025-05,5,3,0,0,1,0.0,0.0
AIA,2025-06,4,2,0,0,1,0.0,0.0
AIA,2025-07,4,2,0,0,2,0.0,0.0
AIA,2025-08,3,3,0,0,1,0.0,0.0
AIA,2025-09,4,3,0,0,1,0.0,0.0
AIA,2025-10,14,3,0,0,1,0.0,0.0
AIA,2025-11,6,2,0,0,1,0.0,0.0
AIA,2025-12,2,2,0,0,1,0.0,0.0
AIA,2026-01,11,3,0,0,1,0.0,0.0
AIA,2026-02,6,2,0,0,1,0.0,0.0
AIA,2026-03,2,2,0,0,1,0.0,0.0
AIA,2026-04,8,2,0,0,1,0.0,0.0
AIA,2026-05,3,1,0,0,1,0.0,0.0
AIA,2026-06,4,2,0,0,1,0.0,0.0
AIA,2026-07,2,1,0,0,1,0.0,0.0
AIA,2026-08,1,1,0,0,1,0.0,0.0
ALB,2026-03,4102,99,0,0,13,0.0,0.0
ALB,2026-04,24167,331,17,1,35,0.3,0.1
ALB,2026-05,39099,856,12,3,52,0.4,0.0
ALB,2026-06,30018,816,14,1,49,0.1,0.0
ALB,2026-07,15221,663,1,1,54,0.2,0.0
ALB,2026-08,8143,491,0,0,47,0.0,0.0
ATG,2023-03,24,3,0,0,1,0.0,0.0
ATG,2023-04,3,1,0,0,1,0.0,0.0
ATG,2023-05,2,1,0,0,1,0.0,0.0
