iso3,country,wifi_tests,schools,capable_hw_pct,capable_on_24ghz_pct,modal_generation,generation_pct,modal_band,band_pct,median_radio_mbps,median_measured_mbps,median_ratio,radio_limited_pct,over_phy_pct,rho_signal_tput,p_signal_tput,rho_radio_tput,p_radio_tput,schools_both_bands,gain_5ghz_mbps,pct_faster_5ghz,conversion_pct
LKA,Sri Lanka,95356,1850,77.5,76.4,802.11ac,62.1,2.4 GHz,83.7,135.0,20.5,0.16,10.0,0.7,0.15,0.0,0.46,0.0,273.0,25.4,84.2,13.3
UZB,Uzbekistan,83496,526,89.6,87.6,802.11ac,84.5,2.4 GHz,92.0,72.0,15.9,0.15,4.6,0.5,0.22,0.0,0.42,0.0,153.0,9.3,76.5,3.7
MNG,Mongolia,98134,454,89.6,33.7,802.11ax,50.0,5 GHz,62.9,390.0,39.7,0.16,13.4,2.9,-0.03,0.497,0.58,0.0,343.0,58.1,94.5,11.5
ALB,Albania,39917,421,89.1,63.7,802.11ac,79.2,2.4 GHz,77.0,144.0,38.8,0.22,19.0,3.2,0.23,0.0,0.45,0.0,170.0,45.5,88.2,15.8
MNE,Montenegro,31933,241,89.3,59.8,802.11ax,86.8,2.4 GHz,66.0,240.0,24.9,0.14,9.7,2.1,0.08,0.2012,0.38,0.0,109.0,11.5,74.3,3.1
ZAF,South Africa,18214,148,96.7,66.4,802.11ax,56.2,2.4 GHz,70.9,144.0,9.1,0.05,3.9,1.4,-0.06,0.4842,0.33,0.0,94.0,6.1,74.5,1.1
FJI,Fiji,27309,141,77.0,67.0,802.11ac,55.0,2.4 GHz,74.5,144.0,9.4,0.06,3.9,1.0,0.06,0.4562,0.37,0.0,58.0,4.8,75.9,1.3
BIH,Bosnia and Herzegovina,9959,95,63.6,78.8,802.11ac,58.1,2.4 GHz,87.4,130.0,25.2,0.16,13.1,1.1,0.17,0.0983,0.42,0.0,18.0,27.7,94.4,7.7
KEN,Kenya,5758,77,78.0,69.8,802.11ac,75.3,2.4 GHz,78.9,90.0,7.6,0.06,3.1,0.5,-0.01,0.9126,0.18,0.1126,32.0,5.4,87.5,1.8
MWI,Malawi,6138,43,65.4,87.6,802.11ac,62.9,2.4 GHz,90.7,72.0,4.7,0.05,2.1,0.5,0.2,0.1941,0.2,0.2046,11.0,11.1,72.7,4.8
ZMB,Zambia,6818,43,94.9,96.1,802.11ac,92.3,2.4 GHz,100.0,144.0,7.5,0.05,2.2,0.1,0.01,0.9536,-0.16,0.3171,5.0,0.8,60.0,0.1
MDA,Republic of Moldova,6022,37,83.5,60.2,802.11ac,51.5,2.4 GHz,62.2,144.0,45.0,0.28,28.1,2.7,-0.03,0.8584,0.24,0.1513,21.0,29.1,90.5,11.7
BWA,Botswana,6825,37,58.1,56.4,802.11ac,54.8,2.4 GHz,64.9,144.0,23.2,0.18,17.1,2.8,0.09,0.577,0.52,0.001,15.0,45.7,86.7,15.1
BLZ,Belize,6924,29,70.3,37.4,802.11ac,58.3,5 GHz,55.2,135.0,41.3,0.34,25.0,1.6,-0.06,0.7478,0.83,0.0,18.0,83.1,88.9,64.9
NAM,Namibia,4839,26,45.2,45.7,802.11ac,40.9,2.4 GHz,69.2,144.0,1.0,0.01,1.8,0.1,-0.06,0.759,-0.13,0.5279,10.0,-0.1,40.0,-0.0
RWA,Rwanda,2811,16,93.2,72.2,802.11ac,86.7,2.4 GHz,81.2,86.0,5.9,0.04,2.7,0.2,-0.37,0.1562,-0.32,0.2283,10.0,7.4,80.0,2.5
KAZ,Kazakhstan,1112,12,32.7,96.7,802.11ac,75.0,2.4 GHz,100.0,72.0,8.1,0.08,3.6,0.0,0.26,0.4191,-0.09,0.7892,1.0,25.2,100.0,4.2
DMA,Dominica,1083,10,100.0,26.3,802.11ax,70.0,5 GHz,100.0,400.0,53.8,0.12,5.7,1.8,0.54,0.1076,0.39,0.2644,4.0,55.2,75.0,11.1
TTO,Trinidad and Tobago,1430,9,49.9,37.7,802.11ac,83.3,2.4 GHz,55.6,144.0,37.6,0.31,23.8,0.3,0.25,0.5123,0.77,0.0142,4.0,106.2,100.0,29.4
VCT,Saint Vincent and the Grenadines,801,8,100.0,9.9,802.11ac,62.5,5 GHz,75.0,173.0,14.2,0.07,0.1,0.0,0.53,0.174,0.75,0.0305,4.0,-2.4,25.0,-1.8
LSO,Lesotho,590,5,94.6,62.4,802.11ac,60.0,5 GHz,60.0,72.0,12.2,0.05,4.4,0.3,-0.2,0.7471,0.67,0.2189,3.0,14.1,100.0,1.8
LCA,Saint Lucia,274,1,0.0,,,,2.4 GHz,100.0,72.0,24.0,0.34,10.9,0.0,,,,,,,,
GRD,Grenada,227,1,99.6,16.4,802.11ax,100.0,5 GHz,100.0,173.0,79.7,0.5,49.5,6.6,,,,,1.0,45.5,100.0,156.9
